학수번호,과목명,학점
GEA7260,컴,퓨터개론
CDA0143,고급자료구조(Advanced Data Structure),3
CDA0065,데이터베이스개론(Database Theory),3
CDA0027,알고리즘(Algorithms),3
CDA0017,운영체제(OperatingSystem),3
CDA0016,컴퓨터구조(Computer Architechture),3
CDA0023,데이터통신(Data Communication),3
CDA0028,소프트웨어공학(Software Engineering),3
CDA0088,심층상담(Consultation),0
CDA0034,졸업논문(Graduation Thesis),0
CDA0155,객체지향프로그래밍(Object-oriented Programming),3
CDA0156,오픈소스소프트웨어(Open Source Software),3
CDA0157,이산수학(Discrete mathematics),3
CDA0008,자료구조(Data Structure),3
CDA0010,논리설계(Digital Design),3
CDA0136,데이터베이스언어실습(Database Language Practice),3
CDA0125,모바일프로그래밍(Mobile Programming),3
CDA0006,시스템프로그래밍(System Programming),3
CDA0014,컴퓨터그래픽스(Computer Graphics),3
CDA0130,멀티미디어공학(Multimedia and Project),3
CDA0154,소프트웨어설계(Software Design),3
CDA0152,데이터베이스설계(Database Design),3
CDA0139,영상처리(Image Processing),3
CDA0019,컴퓨터구조응용(Computer architecture application),3
CDA0141,캡스톤디자인1(Capstone Design 1),0
CDA0013,프로그래밍언어론(ProgrammingLanguages),3
CDA0151,네트워크프로그램(Network Program),3
CDA0025,마이크로프로세서(Microprocessor),3
CDA0030,인공지능(Artificial Intelligence),3
CDA0142,캡스톤디자인2(Capstone Design 2),3
CDA0119,컴파일러(Compiler),3
CDA0031,컴퓨터네트워크(Computer Networks),3
CDA0149,딥러닝(DeepLearning),3
CDA0148,<sup>분산컴퓨팅시스템</sup> (Fundamentals of Distributed Computing Systems),3
CDA0150,"사물인터넷(Internet of Things,IoT)",3
CDA0153,정보보안(Information Security),3
CDA0074,생명정보학개론(Bio-informatics Theory),3
CDA0159,데이터과학세미나(Data Science Seminar),3
CDA0144,현장실습1(Working Practices1),3
CDA0145,현장실습3(WorkingPractices3),6
CDA0147,현장실습4(WorkingPractices4),12
CDA0160,표준형현장실습(Co-op)1,3
CDA0161,표준형현장실습(Co-op)3,6
CDA0162,표준형현장실습(Co-op)4,12
