이수구분,학수번호,과목명,학점,강의시수,실습시수,개설학년학기,전공능력연관성
,(1.디지털커뮤니케이션)균형교양,GEA7261 컴퓨팅프로그래밍,3,4,"1-1,2",,
,,GEA7260 컴퓨터개론,3,3,"1-1,2",,
,(4.자연·과학·기술의균형교양,이해) GEA8515 컴퓨팅사고력,2,2,1-2,,
,,GEA8538 인공지능의시대,2,2,1-2,,
,확대교양(2.소양교육),GEA7301 공업수학,3,3,"2-1,2",,
,CDA0143,고급자료구조(Advanced Data Structure),33,2-2,①③④,,
,CDA0065,데이터베이스개론(Database Theory),33,3-1,②④⑤,,
,CDA0027,알고리즘(Algorithms),33,3-1,①④,,
,CDA0017,※운영체제(Operating System),33,3-2,①④,,
,전공CDA0016,※컴퓨터구조(Computer Architechture),33,3-1,①③④,,
,필수CDA0023,데이터통신(Data Communication),33,3-2,①③④,,
,CDA0028,소프트웨어공학(Software Engineering),33,3-2,①③④,,
,CDA0088,심층상담(Consultation),0,"전학년-1,2",②,,
,CDA0034,졸업논문(Graduation Thesis),0,"4-1,2",②③④⑤,,
,CDA0155,객체지향프로그래밍(Object-oriented Programming),32,22-1,①②④,,
,CDA0156,오픈소스소프트웨어(Open Source Software),32,22-1,①②③,,
,CDA0157,이산수학(Discrete mathematics),33,2-1,①④,,
,CDA0008,※자료구조(Data Structure),33,2-1,①③④,,
,CDA0010,논리설계(Digital Design),33,2-2,①③④,,
,CDA0136,데이터베이스언어실습(Database Language Practice),32,22-2,①②④,,
,CDA0125,모바일프로그래밍(Mobile Programming),33,2-2,①③④,,
,CDA0006,시스템프로그래밍(System Programming),33,2-2,①④⑤,,
,CDA0014,컴퓨터그래픽스(Computer Graphics),33,2-2,①③④,,
,CDA0130,멀티미디어공학(Multimedia and Project),33,3-1,①③④,,
,CDA0154,소프트웨어설계(Software Design),33,3-1,①③④,,
,CDA0152,데이터베이스설계(Database Design),33,3-2,③④⑤,,
,CDA0139,영상처리(Image Processing),33,3-2,①②④,,
,CDA0019,컴퓨터구조응용(Computer architecture application),33,3-2,①④⑤,,
,CDA0141,캡스톤디자인1(Capstone Design 1),0,3-2,②③④⑤,,
,CDA0013,프로그래밍언어론(Programming Languages),33,2-2,①④,,
,전공CDA0151,네트워크프로그램(Network Program),33,4-1,②④⑤,,
,선택CDA0025,마이크로프로세서(Microprocessor),33,4-1,①③④,,
,CDA0030,인공지능(Artificial Intelligence),33,4-1,①③④,,
,CDA0142,캡스톤디자인2(Capstone Design 2),33,4-1,②③④⑤,,
,CDA0119,컴파일러(Compiler),33,4-1,①③④,,
,CDA0031,컴퓨터네트워크(Computer Networks),33,4-1,②③⑤,,
,CDA0149,딥러닝(Deep Learning),33,4-2,①②④,,
,CDA0148,분산컴퓨팅시스템 (Fundamentals,33,4-1,①③④,,
,CDA0150,"사물인터넷(Internet of Things, IoT)",33,4-2,②③⑤,,
,CDA0153,정보보안(Information Security),33,4-2,①②③,,
,CDA0074,생명정보학개론(Bio-informatics Theory),33,4-2,④⑤,,
,CDA0159,데이터과학세미나(Data Science Seminar),33,4-2,②④⑤,,
,CDA0144,현장실습1(Working Practices1),34주,"3,4-계절",②④⑤,,
,CDA0145,현장실습3(Working Practices3),68주,"3,4-계절",②④⑤,,
,CDA0147,현장실습4(Working Practices4),1212주,"4-1,2",②④⑤,,
,CDA0160,표준형현장실습(Co-op)1,34주,"3,4-계절",②④⑤,,
,CDA0161,표준형현장실습(Co-op)3,68주,"3,4-계절",②④⑤,,
,CDA0162,표준형현장실습(Co-op)4,1212주,"3,4-1,2",②④⑤,,
