=== PAGE 1 TABLE 1 ===,,,,,,,,,,,,
,,교양,,,,전공,,,,,,
학과,구분,기초,균형,교양,,전공,전공,전공,,졸업 잔여,졸업,최소전공 인정학점
,,교양,교양,잔여 학점,소계,기초,필수,선택,소계,학점,학점,시행여부
,전공심화,8,19,3,30,,21,57,78,22,130,
컴퓨터공학과,,,,,,,,,,,,○
,복수전공,8,19,3,30,,21,35,56,44,130,
,,,,,,,,,,,,
=== PAGE 1 TABLE 2 ===,,,,,,,,,,,,
5대 전공능력기반,①,②,③,④,⑤,합계,,,,,,
전공과목(학점),26((78),21(78),22(60),38(132),18(72),125(420),,,,,,
,,,,,,,,,,,,
=== PAGE 2 TABLE 1 ===,,,,,,,,,,,,
,,1학년,,2학년,,3학년,,4학년,,,,
구 분,,,,,,,,,,총계,비고,
,,1학기,2학기,1학기,2학기,1학기,2학기,1학기,2학기,,,
,기초교양,3,3,2,,,,,,8,,
,균형교양,9,7,3,3,,,,,22,,
교양,확대교양,,,,3,,,,,3,,
,잔여학점,,,,,,,,,,,
,소 계,12,10,5,6,,,,,33,,
,전공필수,,,,3,12,9,,,24,,
전공,전공선택,,3,9,9,3,9,12,9,78,,
,소 계,,3,9,12,15,18,12,9,78,,
(교양)+(전공)=계,,12,13,14,18,15,18,12,9,111,,
졸업잔여학점,,5,4,3,,2,,3,2,19,,
졸업학점,,17,17,17,18,17,18,15,11,130,,
,,,,,,,,,,,,
=== PAGE 2 TABLE 2 ===,,,,,,,,,,,,
구분(영역),학수번호,과목명,학점,시수,개설학기,,,,,,,
균형교양,,,,,,,,,,,,
,GEA7261,컴퓨팅프로그래밍,3,4,"1-1,2",,,,,,,
(1.디지털커뮤니케이션),,,,,,,,,,,,
,GEA7260,컴퓨터개론,3,3,"1-1,2",,,,,,,
균형교양,,,,,,,,,,,,
,GEA8515,컴퓨팅사고력,2,2,1-2,,,,,,,
(4.자연·과학·기술의 이해),,,,,,,,,,,,
,GEA8538,인공지능의시대,2,2,1-2,,,,,,,
확대교양(2.소양교육),GEA7301,공업수학,3,3,"2-1,2",,,,,,,
,,,,,,,,,,,,
=== PAGE 2 TABLE 3 ===,,,,,,,,,,,,
이수,학수번호,과 목 명,학점,시간수,,개설 학년,전공능력 기반,,,,,
구분,,,,강의,실습 실기,학기,연관성,,,,,
,CDA0143,고급자료구조(Advanced Data Structure),3,3,,2-2,①③④,,,,,
,CDA0065,데이터베이스개론(Database Theory),3,3,,3-1,②④⑤,,,,,
,CDA0027,알고리즘(Algorithms),3,3,,3-1,①④,,,,,
,CDA0017,※운영체제(Operating System),3,3,,3-2,①④,,,,,
전공,CDA0016,※컴퓨터구조(Computer Architechture),3,3,,3-1,①③④,,,,,
필수,,,,,,,,,,,,
,CDA0023,데이터통신(Data Communication),3,3,,3-2,①③④,,,,,
,CDA0028,소프트웨어공학(Software Engineering),3,3,,3-2,①③④,,,,,
,,,,,,전학년-,,,,,,
,CDA0088,심층상담(Consultation),0,,,,②,,,,,
,,,,,,"1,2",,,,,,
,CDA0034,졸업논문(Graduation Thesis),0,,,"4-1,2",②③④⑤,,,,,
,CDA0155,객체지향프로그래밍(Object-oriented Programming),3,2,2,2-1,①②④,,,,,
